#separator:tab
#html:true
#deck:JP Grammar Minna Quality MCQ Nanami
CardID	Level	GrammarPoint	GrammarAudio	MeaningCN	ExplanationCN	Connection	OptionA	OptionAAudio	OptionB	OptionBAudio	OptionC	OptionCAudio	OptionD	OptionDAudio	CorrectOption	CorrectExample	CorrectExampleCN	Rationale	Source	Tags
JP-GRAMMAR-QUALITY-MCQ-01	Minna	～ さん	[sound:jp-grammar-quality-mcq-01_grammar.mp3]	表示「さん」这一语法形式或助词用法	用于练习「～ さん」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ さん。按原书条目和句中词形使用。	田中（を）は日本語の先生です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-01_option_A.mp3""></audio>"	田中（から）は日本語の先生です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-01_option_B.mp3""></audio>"	田中（さん）は日本語の先生です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-01_option_C.mp3""></audio>"	田中（で）は日本語の先生です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-01_option_D.mp3""></audio>"	C	田中（さん）は日本語の先生です。	这句话用于确认“～ さん”的用法。	A. 错误：「を」标记动作对象，不能用于称呼。<br>B. 错误：「から」表示起点或原因，不能用于称呼。<br>C. 正确：「さん」接在人名后表示礼貌称呼。<br>D. 错误：「で」表示场所或手段，不能用于称呼。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_01-22.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-02	Minna	～ から	[sound:jp-grammar-quality-mcq-02_grammar.mp3]	因为；从	可表示原因，也可表示时间或空间起点。	普通形 + か	東京（で）来ました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-02_option_A.mp3""></audio>"	東京（を）来ました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-02_option_B.mp3""></audio>"	東京（から）来ました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-02_option_C.mp3""></audio>"	東京（まで）来ました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-02_option_D.mp3""></audio>"	C	東京（から）来ました。	不知道他是否会来。	A. 错误：「で」表示场所或手段。<br>B. 错误：「を」不能标记来处。<br>C. 正确：「から」表示出发点或起点。<br>D. 错误：「まで」表示终点。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_01-23.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-03	Minna	形容詞の(代替	[sound:jp-grammar-quality-mcq-03_grammar.mp3]	名词化；所属；说明	可表示所属、名词化，或替代前面提到的名词。	普通形 + の	赤い（な）をください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-03_option_A.mp3""></audio>"	赤い（の）をください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-03_option_B.mp3""></audio>"	赤い（ため）をください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-03_option_C.mp3""></audio>"	赤い（こと）をください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-03_option_D.mp3""></audio>"	B	赤い（の）をください。	我喜欢跑步。	A. 错误：「な」不能这样接在い形容词后面代替名词。<br>B. 正确：「の」代替前面提到的名词，相当于“红色的那个”。<br>C. 错误：「ため」表示目的或原因，不能代替名词。<br>D. 错误：「こと」表示抽象事情，不能指代具体物品。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_01-23.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-410	Minna	も、～(主句)	[sound:jp-grammar-quality-mcq-410_grammar.mp3]	也；连...都	表示同类追加或强调极端例子。	名詞 + も	私（を）行きます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-410_option_A.mp3""></audio>"	私（だけ）行きます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-410_option_B.mp3""></audio>"	私（も）行きます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-410_option_C.mp3""></audio>"	私（は）行きます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-410_option_D.mp3""></audio>"	C	私（も）行きます。	我也去。	A. 错误：「を」标记动作对象。<br>B. 错误：「だけ」表示限定，不表示“也”。<br>C. 正确：源例句中「も」符合该语法点的接续和语义。<br>D. 错误：「は」只提示主题，不表示追加。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-02.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-411	Minna	～ から来ました。	[sound:jp-grammar-quality-mcq-411_grammar.mp3]	是否；或者；疑问	表示疑问、不确定或选择。	普通形 + か	彼が来る（ので）分かりません。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-411_option_A.mp3""></audio>"	彼が来る（が）分かりません。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-411_option_B.mp3""></audio>"	彼が来る（を）分かりません。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-411_option_C.mp3""></audio>"	彼が来る（か）分かりません。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-411_option_D.mp3""></audio>"	D	彼が来る（か）分かりません。	不知道他是否会来。	A. 错误：「ので」表示原因，不表示是否。<br>B. 错误：「が」不能在这里标记疑问内容。<br>C. 错误：「を」不能放在从句末表示疑问。<br>D. 正确：「か」放在从句中表示疑问或不确定。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-04.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-412	Minna	～ ペんへいじつ	[sound:jp-grammar-quality-mcq-412_grammar.mp3]	表示「ペんへいじつ」这一语法形式或助词用法	用于练习「～ ペんへいじつ」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ ペんへいじつ。按原书条目和句中词形使用。	「ペんへいじつ」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-412_option_A.mp3""></audio>"	「ペんへいじつ」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-412_option_B.mp3""></audio>"	「ペんへいじつ」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-412_option_C.mp3""></audio>"	「ペんへいじつ」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-412_option_D.mp3""></audio>"	A	「ペんへいじつ」は、このカードで確認する表現です。	这句话用于确认“～ ペんへいじつ”的用法。	A. 正确：源条目无法稳定解析时，只确认目标表达「ペんへいじつ」本身。<br>B. 错误：无法从源条目断定它只接名词。<br>C. 错误：无法从源条目断定它只用于命令文。<br>D. 错误：无法从源条目断定它只接过去形。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-05.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-413	Minna	～ 会社よものく読み物 〉	[sound:jp-grammar-quality-mcq-413_grammar.mp3]	名词化；所属；说明	可表示所属、名词化，或替代前面提到的名词。	普通形 + の	走る（の）が好きです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-413_option_A.mp3""></audio>"	走る（が）が好きです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-413_option_B.mp3""></audio>"	走る（を）が好きです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-413_option_C.mp3""></audio>"	走る（こと）が好きです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-413_option_D.mp3""></audio>"	A	走る（の）が好きです。	我喜欢跑步。	A. 正确：源例句中「の」符合该语法点的接续和语义。<br>B. 错误：「が」不能名词化前面的内容。<br>C. 错误：「を」不能名词化前面的内容。<br>D. 错误：「こと」表示抽象事情，这里不能自然替代「の」。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-06.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-414	Minna	～ 先生、～ 女士(「～ さん」的尊敬語)	[sound:jp-grammar-quality-mcq-414_grammar.mp3]	表示「先生、～ 女士(「～ さん」的尊敬語)」这一语法形式或助词用法	用于练习「～ 先生、～ 女士(「～ さん」的尊敬語)」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ 先生、～ 女士(「～ さん」的尊敬語)。按原书条目和句中词形使用。	「先生、～ 女士(「～ さん」的尊敬語)」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-414_option_A.mp3""></audio>"	「先生、～ 女士(「～ さん」的尊敬語)」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-414_option_B.mp3""></audio>"	「先生、～ 女士(「～ さん」的尊敬語)」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-414_option_C.mp3""></audio>"	「先生、～ 女士(「～ さん」的尊敬語)」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-414_option_D.mp3""></audio>"	C	「先生、～ 女士(「～ さん」的尊敬語)」は、このカードで確認する表現です。	这句话用于确认“～ 先生、～ 女士(「～ さん」的尊敬語)”的用法。	A. 错误：无法从源条目断定它只用于命令文。<br>B. 错误：无法从源条目断定它只接过去形。<br>C. 正确：源条目无法稳定解析时，只确认目标表达「先生、～ 女士(「～ さん」的尊敬語)」本身。<br>D. 错误：无法从源条目断定它只接名词。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-06.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-415	Minna	～ 公詞宇宙宇宙船	[sound:jp-grammar-quality-mcq-415_grammar.mp3]	表示「公詞宇宙宇宙船」这一语法形式或助词用法	用于练习「～ 公詞宇宙宇宙船」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ 公詞宇宙宇宙船。按原书条目和句中词形使用。	「公詞宇宙宇宙船」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-415_option_A.mp3""></audio>"	「公詞宇宙宇宙船」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-415_option_B.mp3""></audio>"	「公詞宇宙宇宙船」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-415_option_C.mp3""></audio>"	「公詞宇宙宇宙船」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-415_option_D.mp3""></audio>"	B	「公詞宇宙宇宙船」は、このカードで確認する表現です。	这句话用于确认“～ 公詞宇宙宇宙船”的用法。	A. 错误：无法从源条目断定它只用于命令文。<br>B. 正确：源条目无法稳定解析时，只确认目标表达「公詞宇宙宇宙船」本身。<br>C. 错误：无法从源条目断定它只接过去形。<br>D. 错误：无法从源条目断定它只接名词。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-06.png	jp_grammar quality_mcq nanami Minna
JP-GRAMMAR-QUALITY-MCQ-416	Minna	～ ガラス製品、瀬戸物、金属製台所用品など	[sound:jp-grammar-quality-mcq-416_grammar.mp3]	表示「ガラス製品、瀬戸物、金属製台所用品など」这一语法形式或助词用法	用于练习「～ ガラス製品、瀬戸物、金属製台所用品など」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ ガラス製品、瀬戸物、金属製台所用品など。按原书条目和句中词形使用。	「ガラス製品、瀬戸物、金属製台所用品など」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-416_option_A.mp3""></audio>"	「ガラス製品、瀬戸物、金属製台所用品など」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-416_option_B.mp3""></audio>"	「ガラス製品、瀬戸物、金属製台所用品など」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-416_option_C.mp3""></audio>"	「ガラス製品、瀬戸物、金属製台所用品など」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-416_option_D.mp3""></audio>"	C	「ガラス製品、瀬戸物、金属製台所用品など」は、このカードで確認する表現です。	这句话用于确认“～ ガラス製品、瀬戸物、金属製台所用品など”的用法。	A. 错误：无法从源条目断定它只用于命令文。<br>B. 错误：无法从源条目断定它只接过去形。<br>C. 正确：源条目无法稳定解析时，只确认目标表达「ガラス製品、瀬戸物、金属製台所用品など」本身。<br>D. 错误：无法从源条目断定它只接名词。	大家的日语（第二版）初级2学习辅导书3A出版社 / 大家的日语（第二版）初级2学习辅导书3A出版社__part_02-08.png	jp_grammar quality_mcq nanami Minna
