#separator:tab
#html:true
#deck:JP Grammar N3 Quality MCQ Nanami
CardID	Level	GrammarPoint	GrammarAudio	MeaningCN	ExplanationCN	Connection	OptionA	OptionAAudio	OptionB	OptionBAudio	OptionC	OptionCAudio	OptionD	OptionDAudio	CorrectOption	CorrectExample	CorrectExampleCN	Rationale	Source	Tags
JP-GRAMMAR-QUALITY-MCQ-136	N3	～ 間/間に	[sound:jp-grammar-quality-mcq-136_grammar.mp3]	在...期间；趁...	表示在某段时间范围内发生或完成后项。	動詞普通形 / 名詞の + 間に	試験が終わった（間）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-136_option_A.mp3""></audio>"	学生証の（間）、試験を受けます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-136_option_B.mp3""></audio>"	試験の（間）、学生証を見せてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-136_option_C.mp3""></audio>"	試験を受けるための（間）、学生証を見せてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-136_option_D.mp3""></audio>"	C	試験の（間）、学生証を見せてください。	趁孩子睡着的时候打扫了卫生。	A. 错误：后项结构不完整，不能这样收句。<br>B. 错误：前后语义关系不成立，不是在说明时间场合。<br>C. 正确：間 表示某个时候或场合。<br>D. 错误：前项已经是目的结构，再接该表达不自然。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-137	N3	～ いし、/よい	[sound:jp-grammar-quality-mcq-137_grammar.mp3]	表示「いし」这一语法形式或助词用法	用于练习「～ いし、/よい」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ いし、/よい。按原书条目和句中词形使用。	「いし」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-137_option_A.mp3""></audio>"	「いし」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-137_option_B.mp3""></audio>"	「いし」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-137_option_C.mp3""></audio>"	「いし」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-137_option_D.mp3""></audio>"	B	「いし」は、このカードで確認する表現です。	这句话用于确认“～ いし、/よい”的用法。	A. 错误：无法从源条目断定它只接名词。<br>B. 正确：源条目无法稳定解析时，只确认目标表达「いし」本身。<br>C. 错误：无法从源条目断定它只接过去形。<br>D. 错误：无法从源条目断定它只用于命令文。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-138	N3	～ 以上(は)	[sound:jp-grammar-quality-mcq-138_grammar.mp3]	既然...就	表示在前项事实成立的前提下，后项是说话人认为当然的判断或义务。	動詞普通形 / 名詞+である + 以上(は)	約束した（以上）、最後までやるべきだ。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-138_option_A.mp3""></audio>"	約束した（以上で）、最後までやるべきだ。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-138_option_B.mp3""></audio>"	約束した（以上に）、最後までやるべきだ。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-138_option_C.mp3""></audio>"	約束した（以上から）、最後までやるべきだ。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-138_option_D.mp3""></audio>"	A	約束した（以上）、最後までやるべきだ。	既然约好了，就应该做到最后。	A. 正确：既然已经约定，后项表达义务或判断。<br>B. 错误：表示既然时不用以上で。<br>C. 错误：以上に表示超过某程度，不是既然。<br>D. 错误：没有以上から这种接法。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-139	N3	～ 上(に)	[sound:jp-grammar-quality-mcq-139_grammar.mp3]	表示「上(に)」这一语法形式或助词用法	用于练习「～ 上(に)」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ 上(に)。按原书条目和句中词形使用。	「上(に)」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-139_option_A.mp3""></audio>"	「上(に)」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-139_option_B.mp3""></audio>"	「上(に)」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-139_option_C.mp3""></audio>"	「上(に)」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-139_option_D.mp3""></audio>"	B	「上(に)」は、このカードで確認する表現です。	这句话用于确认“～ 上(に)”的用法。	A. 错误：无法从源条目断定它只接名词。<br>B. 正确：源条目无法稳定解析时，只确认目标表达「上(に)」本身。<br>C. 错误：无法从源条目断定它只接过去形。<br>D. 错误：无法从源条目断定它只用于命令文。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-140	N3	～ 上で/上での	[sound:jp-grammar-quality-mcq-140_grammar.mp3]	在...之后；在...方面	表示先完成前项再做后项，也可表示从某个方面来看。	普通形 + の	この漢字の読み方です教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-140_option_A.mp3""></audio>"	この漢字の読みためを教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-140_option_B.mp3""></audio>"	この漢字の読む方を教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-140_option_C.mp3""></audio>"	この漢字の読み方を教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-140_option_D.mp3""></audio>"	D	この漢字の読み方を教えてください。	我喜欢跑步。	A. 错误：句中结构错误。<br>B. 错误：「ため」表示目的或原因。<br>C. 错误：「方」前接ます形词干。<br>D. 正确：「方」接ます形词干，表示做法。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-141	N3	～ 上で(は)/上での	[sound:jp-grammar-quality-mcq-141_grammar.mp3]	在...之后；在...方面	表示先完成前项再做后项，也可表示从某个方面来看。	普通形 + の	この漢字の読む方を教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-141_option_A.mp3""></audio>"	この漢字の読み方です教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-141_option_B.mp3""></audio>"	この漢字の読みためを教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-141_option_C.mp3""></audio>"	この漢字の読み方を教えてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-141_option_D.mp3""></audio>"	D	この漢字の読み方を教えてください。	我喜欢跑步。	A. 错误：「方」前接ます形词干。<br>B. 错误：句中结构错误。<br>C. 错误：「ため」表示目的或原因。<br>D. 正确：「方」接ます形词干，表示做法。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-142	N3	～ うちに/うちは	[sound:jp-grammar-quality-mcq-142_grammar.mp3]	趁着...；在...期间	表示在某状态没有改变之前做某事，或在某期间内发生变化。	接续：～ うちに/うちは。按原书条目和句中词形使用。	試験が終わった（うちに）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-142_option_A.mp3""></audio>"	学生証の（うちに）、試験を受けます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-142_option_B.mp3""></audio>"	試験を受けるための（うちに）、学生証を見せてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-142_option_C.mp3""></audio>"	試験の（うちに）、学生証を見せてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-142_option_D.mp3""></audio>"	D	試験の（うちに）、学生証を見せてください。	这句话用于确认“～ うちに/うちは”的用法。	A. 错误：后项结构不完整，不能这样收句。<br>B. 错误：前后语义关系不成立，不是在说明时间场合。<br>C. 错误：前项已经是目的结构，再接该表达不自然。<br>D. 正确：うちに 表示某个时候或场合。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-143	N3	～ おかげで/おかげだ	[sound:jp-grammar-quality-mcq-143_grammar.mp3]	多亏；幸亏	表示由于前项原因而得到好的结果，有时也可反讽。	動詞普通形 / い形容詞 / な形容詞+な / 名詞+の + おかげで	先生（おかげで）、試験に合格できました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-143_option_A.mp3""></audio>"	先生を（おかげで）、試験に合格できました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-143_option_B.mp3""></audio>"	先生の（おかげで）、試験に合格できました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-143_option_C.mp3""></audio>"	先生の（おかげに）、試験に合格できました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-143_option_D.mp3""></audio>"	C	先生の（おかげで）、試験に合格できました。	多亏老师，我通过了考试。	A. 错误：名词后需要の。<br>B. 错误：不能用を连接おかげで。<br>C. 正确：名词接の，后项是好的结果。<br>D. 错误：表示原因结果时用おかげで。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-144	N3	～ おきにおそ	[sound:jp-grammar-quality-mcq-144_grammar.mp3]	每隔...	表示按一定间隔反复发生。	数量詞 + おきに	一日おきに薬を飲んでください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-144_option_A.mp3""></audio>"	一日までに薬を飲んでください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-144_option_B.mp3""></audio>"	一日おきにです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-144_option_C.mp3""></audio>"	一日ごとに薬を飲んでください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-144_option_D.mp3""></audio>"	A	一日おきに薬を飲んでください。	每隔一天慢跑。	A. 正确：「おきに」表示每隔一定间隔。<br>B. 错误：「までに」表示期限。<br>C. 错误：后项动作不完整。<br>D. 错误：「ごとに」也可表示每次，但不是本题目标表达。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
JP-GRAMMAR-QUALITY-MCQ-145	N3	～ 恐れがある	[sound:jp-grammar-quality-mcq-145_grammar.mp3]	有...的恐怕/可能	表示可能发生不好的事情，语气较正式。	動詞辞書形 / 名詞+の + 恐れがある	台風で電車が止まる（恐れがある）。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-145_option_A.mp3""></audio>"	台風で電車が止まった（恐れがある）。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-145_option_B.mp3""></audio>"	台風で電車が止まる（恐れをある）。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-145_option_C.mp3""></audio>"	台風で電車が止まる（恐れがいる）。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-145_option_D.mp3""></audio>"	A	台風で電車が止まる（恐れがある）。	由于台风，电车有可能停运。	A. 正确：前面接动词辞书形，表示不好的可能性。<br>B. 错误：表示将来可能发生时通常接辞书形。<br>C. 错误：固定形式是恐れがある。<br>D. 错误：不能把ある换成いる。	日语蓝宝书_N3 / 日语蓝宝书_N3__part_01-11.png	jp_grammar quality_mcq nanami N3
