#separator:tab
#html:true
#deck:JP Grammar N5/N4 Quality MCQ Nanami
CardID	Level	GrammarPoint	GrammarAudio	MeaningCN	ExplanationCN	Connection	OptionA	OptionAAudio	OptionB	OptionBAudio	OptionC	OptionCAudio	OptionD	OptionDAudio	CorrectOption	CorrectExample	CorrectExampleCN	Rationale	Source	Tags
JP-GRAMMAR-QUALITY-MCQ-283	N5/N4	～ こちら「そちら、あちら、どちら	[sound:jp-grammar-quality-mcq-283_grammar.mp3]	这边；这位；这个	指靠近说话人的方向、场所、人或事物，是礼貌表达。	こちら / そちら / あちら / どちら	受付は（ために）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-283_option_A.mp3""></audio>"	受付は（こちら）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-283_option_B.mp3""></audio>"	受付は（のに）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-283_option_C.mp3""></audio>"	受付は（こと）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-283_option_D.mp3""></audio>"	B	受付は（こちら）です。	接待处在这边。	A. 错误：这是目的表达，不能替代目标表达。<br>B. 正确：源例句中「こちら」符合该语法点的接续和语义。<br>C. 错误：这是逆接表达，不能替代目标表达。<br>D. 错误：这是相近形式，但接续或语义不符合这个例句。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-06.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-284	N5/N4	し形容詞	[sound:jp-grammar-quality-mcq-284_grammar.mp3]	表示「し形容詞」这一语法形式或助词用法	用于练习「し形容詞」在句中的形式和基本功能；具体语义需结合前后文判断。	普通形 . - い形容詞敬体形	「学生」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-284_option_A.mp3""></audio>"	「行く」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-284_option_B.mp3""></audio>"	「おいしい」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-284_option_C.mp3""></audio>"	「静か」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-284_option_D.mp3""></audio>"	C	「おいしい」は（い形容詞）です。	这句话用于确认“し形容詞”的用法。	A. 错误：「学生」是名词。<br>B. 错误：「行く」是动词。<br>C. 正确：「おいしい」以「い」结尾，可作为い形容词使用。<br>D. 错误：「静か」是な形容词，修饰名词时是「静かな」。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-06.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-285	N5/N4	な形容岡敬体形 =	[sound:jp-grammar-quality-mcq-285_grammar.mp3]	表示「な形容岡敬体形 =」这一语法形式或助词用法	用于练习「な形容岡敬体形 =」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：な形容岡敬体形 =。按原书条目和句中词形使用。	「な形容岡敬体形 =」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-285_option_A.mp3""></audio>"	「な形容岡敬体形 =」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-285_option_B.mp3""></audio>"	「な形容岡敬体形 =」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-285_option_C.mp3""></audio>"	「な形容岡敬体形 =」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-285_option_D.mp3""></audio>"	D	「な形容岡敬体形 =」は、このカードで確認する表現です。	这句话用于确认“な形容岡敬体形 =”的用法。	A. 错误：无法从源条目断定它只接过去形。<br>B. 错误：无法从源条目断定它只接名词。<br>C. 错误：无法从源条目断定它只用于命令文。<br>D. 正确：源条目无法稳定解析时，只确认目标表达「な形容岡敬体形 =」本身。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-07.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-286	N5/N4	になせ/どうして/なんで	[sound:jp-grammar-quality-mcq-286_grammar.mp3]	表示「になせ」这一语法形式或助词用法	用于练习「になせ/どうして/なんで」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：になせ/どうして/なんで。按原书条目和句中词形使用。	「になせ」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-286_option_A.mp3""></audio>"	「になせ」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-286_option_B.mp3""></audio>"	「になせ」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-286_option_C.mp3""></audio>"	「になせ」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-286_option_D.mp3""></audio>"	C	「になせ」は、このカードで確認する表現です。	这句话用于确认“になせ/どうして/なんで”的用法。	A. 错误：无法从源条目断定它只用于命令文。<br>B. 错误：无法从源条目断定它只接名词。<br>C. 正确：源条目无法稳定解析时，只确认目标表达「になせ」本身。<br>D. 错误：无法从源条目断定它只接过去形。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-07.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-287	N5/N4	ても/でも ゞ	[sound:jp-grammar-quality-mcq-287_grammar.mp3]	即使...也	表示让步条件。	動詞て形 / い形容詞くて + も	「学生」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-287_option_A.mp3""></audio>"	「静か」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-287_option_B.mp3""></audio>"	「おいしい」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-287_option_C.mp3""></audio>"	「行く」は（い形容詞）です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-287_option_D.mp3""></audio>"	C	「おいしい」は（い形容詞）です。	即使下雨也去。	A. 错误：「学生」是名词。<br>B. 错误：「静か」是な形容词，修饰名词时是「静かな」。<br>C. 正确：「おいしい」以「い」结尾，可作为い形容词使用。<br>D. 错误：「行く」是动词。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-288	N5/N4	て/で	[sound:jp-grammar-quality-mcq-288_grammar.mp3]	表示「て」这一语法形式或助词用法	用于练习「て/で」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：て/で。按原书条目和句中词形使用。	「て」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-288_option_A.mp3""></audio>"	「て」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-288_option_B.mp3""></audio>"	「て」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-288_option_C.mp3""></audio>"	「て」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-288_option_D.mp3""></audio>"	C	「て」は、このカードで確認する表現です。	这句话用于确认“て/で”的用法。	A. 错误：无法从源条目断定它只接过去形。<br>B. 错误：无法从源条目断定它只用于命令文。<br>C. 正确：源条目无法稳定解析时，只确认目标表达「て」本身。<br>D. 错误：无法从源条目断定它只接名词。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-289	N5/N4	ながら	[sound:jp-grammar-quality-mcq-289_grammar.mp3]	一边...一边...	表示两个动作同时进行。	動詞ます形 + ながら	勉強しながら、昨日音楽を聞いた。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-289_option_A.mp3""></audio>"	音楽を聞きながら、勉強します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-289_option_B.mp3""></audio>"	音楽を聞きながらです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-289_option_C.mp3""></audio>"	音楽を聞くながら、勉強します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-289_option_D.mp3""></audio>"	B	音楽を聞きながら、勉強します。	一边听音乐一边学习。	A. 错误：时态和同时关系不自然。<br>B. 正确：「ながら」表示两个动作同时进行。<br>C. 错误：后项动作不完整。<br>D. 错误：「ながら」前接ます形词干。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-290	N5/N4	～ たち/がた	[sound:jp-grammar-quality-mcq-290_grammar.mp3]	...们	表示人的复数。	人を表す名詞 + たち	学生たちを教室にいます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-290_option_A.mp3""></audio>"	学生をちは教室にいます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-290_option_B.mp3""></audio>"	学生がたちは教室にいます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-290_option_C.mp3""></audio>"	学生たちは教室にいます。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-290_option_D.mp3""></audio>"	D	学生たちは教室にいます。	学生们在教室里。	A. 错误：这里要用主题或主语，不是动作对象。<br>B. 错误：「たち」不能替代助词。<br>C. 错误：「がた」と「たち」不能这样叠用。<br>D. 正确：「たち」接在人或动物后表示复数。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-291	N5/N4	～ てください/ないでください	[sound:jp-grammar-quality-mcq-291_grammar.mp3]	请不要...	请求对方不要做某事。	動詞ない形 + で	ここに名前を書くてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-291_option_A.mp3""></audio>"	ここに名前を書いてください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-291_option_B.mp3""></audio>"	ここに名前を書いたください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-291_option_C.mp3""></audio>"	ここに名前を書かないでください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-291_option_D.mp3""></audio>"	B	ここに名前を書いてください。	没带伞就出门了。	A. 错误：五段动词「書く」的て形是「書いて」。<br>B. 正确：「てください」用于请求对方做某事。<br>C. 错误：「ください」前要接动词て形，不能接た形。<br>D. 错误：这是“请不要写”，语义和请求写相反。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-292	N5/N4	～ てくださいませんか/ないでくださいませんか	[sound:jp-grammar-quality-mcq-292_grammar.mp3]	请不要...	请求对方不要做某事。	動詞ない形 + で	窓を開けたくださいませんか。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-292_option_A.mp3""></audio>"	窓を開けないでくださいませんか。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-292_option_B.mp3""></audio>"	窓を開けてくださいませんか。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-292_option_C.mp3""></audio>"	窓を開けるくださいませんか。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-292_option_D.mp3""></audio>"	C	窓を開けてくださいませんか。	没带伞就出门了。	A. 错误：前面要接动词て形，不能接た形。<br>B. 错误：这是请求不要打开，语义不同。<br>C. 正确：「てくださいませんか」是较礼貌的请求。<br>D. 错误：不能用辞书形直接接「くださいませんか」。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-293	N5/N4	～ ませんか	[sound:jp-grammar-quality-mcq-293_grammar.mp3]	要不要...？	用于委婉邀请或提议。	普通形 + か	一緒に映画を見ないでください。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-293_option_A.mp3""></audio>"	一緒に映画を見ませんでしたか。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-293_option_B.mp3""></audio>"	一緒に映画を見ませんか。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-293_option_C.mp3""></audio>"	一緒に映画を見ませんかです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-293_option_D.mp3""></audio>"	C	一緒に映画を見ませんか。	不知道他是否会来。	A. 错误：这是请求不要做。<br>B. 错误：这是询问过去事实，不是邀请。<br>C. 正确：「ませんか」用于邀请或询问对方意愿。<br>D. 错误：句尾结构错误。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-294	N5/N4	～ ましよう	[sound:jp-grammar-quality-mcq-294_grammar.mp3]	表示「ましよう」这一语法形式或助词用法	用于练习「～ ましよう」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ ましよう。按原书条目和句中词形使用。	一緒に昼ご飯を食べませんでした。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-294_option_A.mp3""></audio>"	一緒に昼ご飯を食べましょう。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-294_option_B.mp3""></audio>"	一緒に昼ご飯を食べました。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-294_option_C.mp3""></audio>"	一緒に昼ご飯を食べましょうです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-294_option_D.mp3""></audio>"	B	一緒に昼ご飯を食べましょう。	这句话用于确认“～ ましよう”的用法。	A. 错误：这是否定过去，不是劝诱。<br>B. 正确：「ましょう」用于劝诱或一起做某事。<br>C. 错误：这是过去陈述，不是劝诱。<br>D. 错误：句尾结构错误。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-295	N5/N4	～ たレ、・讐	[sound:jp-grammar-quality-mcq-295_grammar.mp3]	表示「たレ、・讐」这一语法形式或助词用法	用于练习「～ たレ、・讐」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ たレ、・讐。按原书条目和句中词形使用。	「たレ、・讐」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-295_option_A.mp3""></audio>"	「たレ、・讐」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-295_option_B.mp3""></audio>"	「たレ、・讐」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-295_option_C.mp3""></audio>"	「たレ、・讐」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-295_option_D.mp3""></audio>"	C	「たレ、・讐」は、このカードで確認する表現です。	这句话用于确认“～ たレ、・讐”的用法。	A. 错误：无法从源条目断定它只用于命令文。<br>B. 错误：无法从源条目断定它只接名词。<br>C. 正确：源条目无法稳定解析时，只确认目标表达「たレ、・讐」本身。<br>D. 错误：无法从源条目断定它只接过去形。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-296	N5/N4	～ だみう/でしょテ	[sound:jp-grammar-quality-mcq-296_grammar.mp3]	表示「だみう」这一语法形式或助词用法	用于练习「～ だみう/でしょテ」在句中的形式和基本功能；具体语义需结合前后文判断。	接续：～ だみう/でしょテ。按原书条目和句中词形使用。	「だみう」は、このカードで確認する表現です。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-296_option_A.mp3""></audio>"	「だみう」は、必ず過去形だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-296_option_B.mp3""></audio>"	「だみう」は、必ず命令文だけで使います。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-296_option_C.mp3""></audio>"	「だみう」は、必ず名詞だけに接続します。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-296_option_D.mp3""></audio>"	A	「だみう」は、このカードで確認する表現です。	这句话用于确认“～ だみう/でしょテ”的用法。	A. 正确：源条目无法稳定解析时，只确认目标表达「だみう」本身。<br>B. 错误：无法从源条目断定它只接过去形。<br>C. 错误：无法从源条目断定它只用于命令文。<br>D. 错误：无法从源条目断定它只接名词。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
JP-GRAMMAR-QUALITY-MCQ-297	N5/N4	～ にする/くする	[sound:jp-grammar-quality-mcq-297_grammar.mp3]	决定...；使...成为	表示选择、决定，或人为改变状态。	名詞 + にする	会議は明日をする。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-297_option_A.mp3""></audio>"	会議は明日にする。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-297_option_B.mp3""></audio>"	会議は明日にするです。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-297_option_C.mp3""></audio>"	会議は明日になる。	"<audio controls preload=""none"" src=""jp-grammar-quality-mcq-297_option_D.mp3""></audio>"	B	会議は明日にする。	午饭决定吃咖喱。	A. 错误：助词和结构错误。<br>B. 正确：「にする」表示决定或选择。<br>C. 错误：句尾结构错误。<br>D. 错误：「になる」表示自然变化或结果，不是主动决定。	日语蓝宝书N5N4 / 日语蓝宝书N5N4__part_01-08.png	jp_grammar quality_mcq nanami N5_N4
